195 500
1 7 9
2 8 2
3 14 7
4 15 9
5 3 8
6 5 5
7 2 6
8 15 10
9 17 5
10 6 6
11 16 5
12 1 3
13 14 3
14 6 3
15 2 6
16 11 6
17 14 7
18 9 6
19 1 6
20 3 4
21 19 2
22 3 3
23 20 9
24 20 8
25 15 6
26 16 4
27 13 7
28 17 5
29 17 10
30 20 9
31 17 1
32 1 10
33 14 7
34 19 9
35 17 8
36 20 8
37 8 4
38 19 9
39 8 1
40 20 4
41 4 1
42 12 5
43 13 7
44 8 2
45 9 2
46 14 4
47 7 5
48 11 1
49 10 5
50 12 5
51 10 5
52 1 3
53 4 9
54 18 1
55 2 3
56 20 4
57 15 6
58 1 5
59 6 5
60 14 8
61 20 3
62 20 1
63 11 2
64 6 2
65 12 9
66 3 7
67 5 5
68 9 7
69 15 8
70 9 6
71 4 1
72 4 7
73 5 8
74 14 7
75 15 1
76 11 2
77 7 4
78 10 1
79 6 6
80 16 1
81 15 3
82 7 1
83 11 6
84 6 4
85 3 6
86 13 2
87 10 9
88 13 9
89 16 7
90 3 6
91 4 1
92 12 8
93 6 4
94 5 5
95 15 7
96 3 3
97 11 10
98 20 4
99 2 7
100 19 7
101 15 4
102 13 6
103 11 9
104 13 6
105 16 9
106 1 7
107 13 2
108 10 7
109 15 9
110 13 3
111 9 1
112 15 2
113 18 4
114 15 6
115 14 4
116 7 7
117 4 10
118 5 3
119 12 9
120 15 3
121 20 7
122 6 3
123 9 7
124 1 1
125 7 4
126 2 9
127 16 3
128 10 8
129 19 3
130 6 10
131 14 3
132 17 6
133 10 9
134 11 2
135 17 3
136 16 5
137 15 7
138 1 5
139 19 8
140 14 7
141 14 6
142 8 6
143 4 4
144 20 7
145 8 8
146 13 3
147 7 7
148 6 7
149 1 7
150 13 9
151 8 10
152 10 8
153 19 5
154 12 5
155 7 2
156 4 4
157 7 3
158 1 1
159 17 5
160 5 2
161 17 4
162 13 8
163 5 6
164 17 6
165 10 4
166 19 2
167 14 9
168 16 9
169 10 9
170 12 5
171 2 1
172 2 2
173 17 9
174 19 2
175 2 1
176 1 8
177 3 7
178 6 10
179 19 8
180 17 4
181 13 2
182 10 3
183 3 2
184 14 1
185 18 3
186 3 10
187 14 8
188 12 4
189 3 10
190 11 9
191 5 6
192 12 9
193 18 1
194 7 9
195 14 8
196 12 5
197 3 3
198 9 10
199 1 4
200 16 10
201 11 7
202 6 2
203 4 3
204 15 4
205 13 1
206 19 8
207 11 5
208 17 4
209 19 3
210 19 2
211 3 8
212 9 5
213 12 7
214 1 9
215 10 7
216 13 7
217 15 4
218 7 10
219 6 8
220 20 4
221 1 3
222 13 6
223 7 10
224 2 6
225 10 2
226 1 1
227 3 7
228 11 6
229 11 6
230 10 6
231 7 6
232 13 10
233 19 4
234 10 1
235 3 9
236 12 2
237 3 4
238 2 7
239 20 3
240 2 6
241 6 4
242 1 6
243 11 4
244 3 10
245 19 1
246 10 7
247 10 8
248 19 5
249 19 6
250 10 6
251 6 6
252 15 2
253 9 2
254 17 6
255 13 7
256 10 7
257 10 1
258 18 3
259 12 2
260 1 4
261 2 9
262 15 1
263 16 4
264 10 7
265 18 3
266 6 2
267 7 7
268 12 10
269 7 4
270 17 4
271 18 3
272 7 5
273 15 9
274 20 4
275 7 6
276 17 1
277 7 6
278 20 3
279 3 2
280 4 6
281 10 4
282 17 4
283 20 9
284 3 6
285 16 9
286 13 4
287 10 5
288 10 8
289 7 10
290 19 4
291 4 3
292 4 3
293 18 5
294 3 5
295 13 7
296 6 10
297 2 6
298 15 1
299 13 10
300 7 2
301 5 1
302 10 5
303 12 1
304 5 6
305 3 2
306 6 5
307 3 9
308 3 7
309 17 10
310 6 9
311 10 8
312 11 3
313 11 10
314 8 2
315 2 10
316 9 10
317 16 3
318 6 8
319 6 9
320 1 3
321 10 3
322 16 6
323 1 6
324 6 9
325 20 6
326 15 4
327 8 7
328 9 8
329 5 2
330 3 6
331 6 10
332 10 5
333 16 4
334 2 6
335 17 2
336 1 5
337 1 9
338 13 10
339 17 4
340 19 5
341 18 9
342 7 6
343 5 9
344 14 1
345 7 7
346 20 5
347 6 8
348 11 5
349 2 4
350 8 2
351 11 10
352 8 1
353 20 6
354 3 3
355 3 1
356 9 4
357 12 3
358 5 5
359 19 9
360 13 3
361 16 6
362 14 4
363 17 1
364 3 5
365 17 1
366 1 4
367 13 9
368 6 2
369 8 5
370 20 8
